Timestamp,2026-09-09 15:25:17
Beam Tilt (deg),20.0
d/lambda,0.58
PA_BIAS reg value (0x029~0x02C),0x02
Gain index (all chips/channels),0xA5

CS,CH,Gain,Phase_I,Phase_Q,Phase(deg),PA_BIAS(0x029~0x02C)
2,1,0xA5,0x3C,0x0D,334.6875,0x02
2,2,0xA5,0x3A,0x0F,329.0625,0x02
2,3,0xA5,0x2F,0x3A,61.8750,0x02
2,4,0xA5,0x28,0x3C,75.9375,0x02
5,1,0xA5,0x17,0x34,137.8125,0x02
5,2,0xA5,0x14,0x36,132.1875,0x02
5,3,0xA5,0x1E,0x07,194.0625,0x02
5,4,0xA5,0x1C,0x0E,208.1250,0x02
6,1,0xA5,0x1D,0x0A,199.6875,0x02
6,2,0xA5,0x1D,0x0A,199.6875,0x02
6,3,0xA5,0x0D,0x3A,115.3125,0x02
6,4,0xA5,0x19,0x31,143.4375,0x02
8,1,0xA5,0x2B,0x3C,70.3125,0x02
8,2,0xA5,0x36,0x35,45.0000,0x02
8,3,0xA5,0x3C,0x0D,334.6875,0x02
8,4,0xA5,0x3B,0x0E,331.8750,0x02
