Timestamp,2026-09-09 15:36:48
Beam Tilt (deg),-10.0
d/lambda,0.58
PA_BIAS reg value (0x029~0x02C),0x02
Gain index (all chips/channels),0xA5

CS,CH,Gain,Phase_I,Phase_Q,Phase(deg),PA_BIAS(0x029~0x02C)
2,1,0xA5,0x3C,0x0D,334.6875,0x02
2,2,0xA5,0x3A,0x0F,329.0625,0x02
2,3,0xA5,0x36,0x15,315.0000,0x02
2,4,0xA5,0x3A,0x0F,329.0625,0x02
5,1,0xA5,0x26,0x1D,281.2500,0x02
5,2,0xA5,0x23,0x1D,275.6250,0x02
5,3,0xA5,0x14,0x17,230.6250,0x02
5,4,0xA5,0x0E,0x1A,244.6875,0x02
6,1,0xA5,0x12,0x18,236.2500,0x02
6,2,0xA5,0x12,0x18,236.2500,0x02
6,3,0xA5,0x07,0x1D,258.7500,0x02
6,4,0xA5,0x28,0x1C,286.8750,0x02
8,1,0xA5,0x39,0x11,323.4375,0x02
8,2,0xA5,0x2E,0x1A,298.1250,0x02
8,3,0xA5,0x3C,0x0D,334.6875,0x02
8,4,0xA5,0x3B,0x0E,331.8750,0x02
