MS4644B
!6/25/2026.6:32:13.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     
!Reference Plane Port Info
!PORT:        ,PORT1             ,PORT2             
!DISTANCE:    ,0  m              ,0  m              
!TIME:        ,0  s              ,0  s              
!PHASE OFFSET:,0  deg.           ,0  deg.           
!LOSS:        ,0  dB             ,0  dB             
!REF.LOSS:    ,0  dB             ,0  dB             
!REF.FREQ:    ,0  Hz             ,0  Hz             
!Power Info
!POWER:       ,5  dBm            ,5  dBm            
!EFF.POWER:   ,5  dBm            ,5  dBm            
!SOURCE.ATTEN:,0  dB             ,0  dB             
!TEST.ATTEN:  ,0  dB             ,0  dB             
!SWEEPTYPE: FREQ.SWEEP(Linear)
!
!
!
!
!
!
!
!
!
!
!
!
PNT,FREQ1.GHZ,LOGMAG1,PHASE1.DEG,FREQ2.GHZ,LOGMAG2,PHASE2.DEG,FREQ3.GHZ,LOGMAG3,PHASE3.DEG,FREQ4.GHZ,LOGMAG4,PHASE4.DEG
1,16.000000000,-2.684142E+001,-151.9321000,16.000000000,-3.002243E+000,-159.6591000,16.000000000,-2.933894E+000,-159.4227000,16.000000000,-2.821605E+001,174.2824000
2,16.050000000,-2.749602E+001,-137.1360000,16.050000000,-3.022139E+000,-169.9976000,16.050000000,-2.952173E+000,-170.1387000,16.050000000,-2.859515E+001,179.0268000
3,16.100000000,-2.885868E+001,-107.3801000,16.100000000,-2.995522E+000,179.4727000,16.100000000,-2.949142E+000,179.2573000,16.100000000,-3.048658E+001,-159.3944000
4,16.150000000,-2.949255E+001,-88.2438000,16.150000000,-2.967771E+000,168.8001000,16.150000000,-2.943259E+000,168.7097000,16.150000000,-3.135441E+001,-130.4532000
5,16.200000000,-2.800726E+001,-78.5544300,16.200000000,-2.977347E+000,158.1877000,16.200000000,-2.942178E+000,157.9587000,16.200000000,-2.935438E+001,-128.1098000
6,16.250000000,-2.707962E+001,-78.0498100,16.250000000,-2.940354E+000,147.5901000,16.250000000,-2.958575E+000,147.2521000,16.250000000,-2.674802E+001,-134.7140000
7,16.300000000,-2.643609E+001,-83.9110000,16.300000000,-2.901994E+000,136.7632000,16.300000000,-2.984224E+000,136.7575000,16.300000000,-2.463271E+001,-130.0544000
8,16.350000000,-2.479757E+001,-103.1511000,16.350000000,-2.948415E+000,125.5372000,16.350000000,-2.986338E+000,126.0090000,16.350000000,-2.368812E+001,-131.6894000
9,16.400000000,-2.198565E+001,-109.5400000,16.400000000,-3.027155E+000,114.8959000,16.400000000,-3.017468E+000,115.4017000,16.400000000,-2.320898E+001,-146.7857000
10,16.450000000,-2.025307E+001,-104.2313000,16.450000000,-3.111932E+000,104.1983000,16.450000000,-2.972260E+000,104.8055000,16.450000000,-2.315097E+001,-155.3937000
