MS4644B
!6/25/2026.6:39:26.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     
!Reference Plane Port Info
!PORT:        ,PORT1             ,PORT2             
!DISTANCE:    ,0  m              ,0  m              
!TIME:        ,0  s              ,0  s              
!PHASE OFFSET:,0  deg.           ,0  deg.           
!LOSS:        ,0  dB             ,0  dB             
!REF.LOSS:    ,0  dB             ,0  dB             
!REF.FREQ:    ,0  Hz             ,0  Hz             
!Power Info
!POWER:       ,5  dBm            ,5  dBm            
!EFF.POWER:   ,5  dBm            ,5  dBm            
!SOURCE.ATTEN:,0  dB             ,0  dB             
!TEST.ATTEN:  ,0  dB             ,0  dB             
!SWEEPTYPE: FREQ.SWEEP(Linear)
!
!
!
!
!
!
!
!
!
!
!
!
PNT,FREQ1.GHZ,LOGMAG1,PHASE1.DEG,FREQ2.GHZ,LOGMAG2,PHASE2.DEG,FREQ3.GHZ,LOGMAG3,PHASE3.DEG,FREQ4.GHZ,LOGMAG4,PHASE4.DEG
1,16.000000000,-3.236525E+001,167.9781000,16.000000000,-2.375747E+000,-136.1667000,16.000000000,-2.357174E+000,-136.1755000,16.000000000,-3.898754E+001,123.5001000
2,16.050000000,-2.953808E+001,-124.4107000,16.050000000,-2.397871E+000,105.2931000,16.050000000,-2.378502E+000,105.3752000,16.050000000,-3.301261E+001,162.1322000
3,16.100000000,-4.440863E+001,153.5184000,16.100000000,-2.358209E+000,-13.2334900,16.100000000,-2.378614E+000,-13.1285000,16.100000000,-3.435896E+001,138.4387000
4,16.150000000,-4.817400E+001,-89.4218900,16.150000000,-2.379943E+000,-131.8342000,16.150000000,-2.370176E+000,-131.8734000,16.150000000,-4.745147E+001,177.0602000
5,16.200000000,-3.747176E+001,-8.7192120,16.200000000,-2.395644E+000,109.6023000,16.200000000,-2.370016E+000,109.7587000,16.200000000,-3.626024E+001,151.5488000
6,16.250000000,-3.914390E+001,126.7298000,16.250000000,-2.387160E+000,-8.8912660,16.250000000,-2.379551E+000,-8.7048630,16.250000000,-3.461573E+001,118.6789000
7,16.300000000,-3.651040E+001,101.9794000,16.300000000,-2.398441E+000,-127.3056000,16.300000000,-2.381360E+000,-127.4475000,16.300000000,-3.766375E+001,168.2026000
8,16.350000000,-3.169214E+001,145.2919000,16.350000000,-2.411914E+000,114.3205000,16.350000000,-2.380544E+000,114.0918000,16.350000000,-4.653169E+001,-163.9418000
9,16.400000000,-3.408125E+001,146.3126000,16.400000000,-2.407985E+000,-4.2985110,16.400000000,-2.390502E+000,-4.3871750,16.400000000,-3.542788E+001,123.2342000
10,16.450000000,-3.090747E+001,178.8047000,16.450000000,-2.400277E+000,-122.8058000,16.450000000,-2.397609E+000,-123.0322000,16.450000000,-4.423176E+001,142.6279000
