MS4644B
!8/20/2026.12:04:05.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG            ,LOGMAG            ,LOGMAG            ,LOGMAG            
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     
!Reference Plane Port Info
!PORT:        ,PORT1             ,PORT2             
!DISTANCE:    ,0  m              ,0  m              
!TIME:        ,0  s              ,0  s              
!PHASE OFFSET:,0  deg.           ,0  deg.           
!LOSS:        ,0  dB             ,0  dB             
!REF.LOSS:    ,0  dB             ,0  dB             
!REF.FREQ:    ,0  Hz             ,0  Hz             
!Power Info
!POWER:       ,5  dBm            ,5  dBm            
!EFF.POWER:   ,5  dBm            ,5  dBm            
!SOURCE.ATTEN:,0  dB             ,0  dB             
!TEST.ATTEN:  ,0  dB             ,0  dB             
!SWEEPTYPE: FREQ.SWEEP(Linear)
!
!
!
!
!
!
!
!
!
!
!
!
PNT,FREQ1.GHZ,LOGMAG1,FREQ2.GHZ,LOGMAG2,FREQ3.GHZ,LOGMAG3,FREQ4.GHZ,LOGMAG4
1,27.000000000,-3.560290E+001,27.000000000,-3.442388E+000,27.000000000,-3.450466E+000,27.000000000,-2.735817E+001
2,27.100000000,-2.548043E+001,27.100000000,-3.463085E+000,27.100000000,-3.513682E+000,27.100000000,-2.268180E+001
3,27.200000000,-2.935992E+001,27.200000000,-3.457892E+000,27.200000000,-3.491326E+000,27.200000000,-2.568211E+001
4,27.300000000,-3.986671E+001,27.300000000,-3.476865E+000,27.300000000,-3.495163E+000,27.300000000,-3.301316E+001
5,27.400000000,-2.951562E+001,27.400000000,-3.468253E+000,27.400000000,-3.503383E+000,27.400000000,-2.471665E+001
6,27.500000000,-3.027994E+001,27.500000000,-3.510279E+000,27.500000000,-3.517220E+000,27.500000000,-2.158982E+001
7,27.600000000,-4.110717E+001,27.600000000,-3.489616E+000,27.600000000,-3.511755E+000,27.600000000,-2.552957E+001
8,27.700000000,-2.799948E+001,27.700000000,-3.500155E+000,27.700000000,-3.539518E+000,27.700000000,-2.371310E+001
9,27.800000000,-3.214014E+001,27.800000000,-3.534598E+000,27.800000000,-3.528017E+000,27.800000000,-2.302424E+001
10,27.900000000,-3.331594E+001,27.900000000,-3.526658E+000,27.900000000,-3.550046E+000,27.900000000,-2.125101E+001
11,28.000000000,-3.002833E+001,28.000000000,-3.539151E+000,28.000000000,-3.556034E+000,28.000000000,-2.291244E+001
12,28.100000000,-3.053146E+001,28.100000000,-3.555605E+000,28.100000000,-3.581518E+000,28.100000000,-2.146896E+001
13,28.200000000,-2.926476E+001,28.200000000,-3.559736E+000,28.200000000,-3.572551E+000,28.200000000,-2.383486E+001
14,28.300000000,-3.012468E+001,28.300000000,-3.559301E+000,28.300000000,-3.599086E+000,28.300000000,-2.283039E+001
15,28.400000000,-3.621746E+001,28.400000000,-3.567560E+000,28.400000000,-3.600856E+000,28.400000000,-2.301408E+001
16,28.500000000,-3.016138E+001,28.500000000,-3.572391E+000,28.500000000,-3.611166E+000,28.500000000,-2.372457E+001
17,28.600000000,-2.850084E+001,28.600000000,-3.591320E+000,28.600000000,-3.612382E+000,28.600000000,-2.529789E+001
18,28.700000000,-5.420365E+001,28.700000000,-3.604935E+000,28.700000000,-3.621385E+000,28.700000000,-2.328921E+001
19,28.800000000,-2.700643E+001,28.800000000,-3.621796E+000,28.800000000,-3.622681E+000,28.800000000,-2.206923E+001
20,28.900000000,-2.545255E+001,28.900000000,-3.641287E+000,28.900000000,-3.605644E+000,28.900000000,-2.275935E+001
21,29.000000000,-3.384079E+001,29.000000000,-3.627016E+000,29.000000000,-3.616112E+000,29.000000000,-2.300776E+001
22,29.100000000,-2.671500E+001,29.100000000,-3.616239E+000,29.100000000,-3.625605E+000,29.100000000,-2.170380E+001
23,29.200000000,-2.288573E+001,29.200000000,-3.688081E+000,29.200000000,-3.644061E+000,29.200000000,-2.021755E+001
24,29.300000000,-2.790744E+001,29.300000000,-3.645473E+000,29.300000000,-3.650440E+000,29.300000000,-2.227981E+001
25,29.400000000,-2.943567E+001,29.400000000,-3.669770E+000,29.400000000,-3.676358E+000,29.400000000,-2.170432E+001
26,29.500000000,-2.207418E+001,29.500000000,-3.754179E+000,29.500000000,-3.713174E+000,29.500000000,-1.883414E+001
27,29.600000000,-2.554573E+001,29.600000000,-3.669008E+000,29.600000000,-3.667115E+000,29.600000000,-2.075422E+001
28,29.700000000,-3.013598E+001,29.700000000,-3.701962E+000,29.700000000,-3.704474E+000,29.700000000,-2.275477E+001
29,29.800000000,-2.243287E+001,29.800000000,-3.713210E+000,29.800000000,-3.710430E+000,29.800000000,-2.162567E+001
30,29.900000000,-2.239468E+001,29.900000000,-3.726653E+000,29.900000000,-3.714130E+000,29.900000000,-1.914093E+001
31,30.000000000,-3.114797E+001,30.000000000,-3.710659E+000,30.000000000,-3.715780E+000,30.000000000,-2.152010E+001
32,30.100000000,-2.229298E+001,30.100000000,-3.731010E+000,30.100000000,-3.766414E+000,30.100000000,-1.923348E+001
33,30.200000000,-2.253674E+001,30.200000000,-3.733741E+000,30.200000000,-3.764733E+000,30.200000000,-2.194347E+001
34,30.300000000,-2.867292E+001,30.300000000,-3.739736E+000,30.300000000,-3.770132E+000,30.300000000,-2.232547E+001
35,30.400000000,-2.166525E+001,30.400000000,-3.764228E+000,30.400000000,-3.811607E+000,30.400000000,-2.164870E+001
36,30.500000000,-2.092715E+001,30.500000000,-3.775684E+000,30.500000000,-3.842094E+000,30.500000000,-1.874257E+001
37,30.600000000,-2.503532E+001,30.600000000,-3.772233E+000,30.600000000,-3.806836E+000,30.600000000,-2.388193E+001
38,30.700000000,-2.273449E+001,30.700000000,-3.788455E+000,30.700000000,-3.881252E+000,30.700000000,-2.079216E+001
39,30.800000000,-2.049034E+001,30.800000000,-3.830138E+000,30.800000000,-3.877464E+000,30.800000000,-1.873013E+001
40,30.900000000,-2.348880E+001,30.900000000,-3.790740E+000,30.900000000,-3.882772E+000,30.900000000,-2.121512E+001
41,31.000000000,-2.399078E+001,31.000000000,-3.820082E+000,31.000000000,-3.888725E+000,31.000000000,-2.434869E+001
42,31.100000000,-2.005409E+001,31.100000000,-3.919430E+000,31.100000000,-3.961612E+000,31.100000000,-1.901617E+001
43,31.200000000,-2.071269E+001,31.200000000,-3.850396E+000,31.200000000,-4.009904E+000,31.200000000,-2.088765E+001
44,31.300000000,-2.465910E+001,31.300000000,-3.871175E+000,31.300000000,-3.909827E+000,31.300000000,-2.490449E+001
45,31.400000000,-2.070846E+001,31.400000000,-3.896607E+000,31.400000000,-3.943723E+000,31.400000000,-2.057489E+001
46,31.500000000,-2.117507E+001,31.500000000,-3.972843E+000,31.500000000,-3.916561E+000,31.500000000,-2.418993E+001
47,31.600000000,-2.339140E+001,31.600000000,-3.881905E+000,31.600000000,-3.927658E+000,31.600000000,-2.836287E+001
48,31.700000000,-1.891872E+001,31.700000000,-4.042047E+000,31.700000000,-3.992797E+000,31.700000000,-2.024996E+001
49,31.800000000,-2.025793E+001,31.800000000,-3.942452E+000,31.800000000,-3.879390E+000,31.800000000,-2.191308E+001
50,31.900000000,-2.258406E+001,31.900000000,-3.940388E+000,31.900000000,-3.972405E+000,31.900000000,-4.556830E+001
51,32.000000000,-1.990889E+001,32.000000000,-4.079937E+000,32.000000000,-4.078579E+000,32.000000000,-2.115681E+001
