MS4644B
!8/20/2026.7:10:03.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG            ,LOGMAG            ,LOGMAG            ,LOGMAG            
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     
!Reference Plane Port Info
!PORT:        ,PORT1             ,PORT2             
!DISTANCE:    ,0  m              ,0  m              
!TIME:        ,0  s              ,0  s              
!PHASE OFFSET:,0  deg.           ,0  deg.           
!LOSS:        ,0  dB             ,0  dB             
!REF.LOSS:    ,0  dB             ,0  dB             
!REF.FREQ:    ,0  Hz             ,0  Hz             
!Power Info
!POWER:       ,5  dBm            ,5  dBm            
!EFF.POWER:   ,5  dBm            ,5  dBm            
!SOURCE.ATTEN:,0  dB             ,0  dB             
!TEST.ATTEN:  ,0  dB             ,0  dB             
!SWEEPTYPE: FREQ.SWEEP(Linear)
!
!
!
!
!
!
!
!
!
!
!
!
PNT,FREQ1.GHZ,LOGMAG1,FREQ2.GHZ,LOGMAG2,FREQ3.GHZ,LOGMAG3,FREQ4.GHZ,LOGMAG4
1,27.000000000,-3.386773E+001,27.000000000,-3.749967E+000,27.000000000,-3.732098E+000,27.000000000,-2.997359E+001
2,27.100000000,-2.882284E+001,27.100000000,-3.749125E+000,27.100000000,-3.758031E+000,27.100000000,-3.047875E+001
3,27.200000000,-3.984394E+001,27.200000000,-3.759934E+000,27.200000000,-3.763998E+000,27.200000000,-3.533083E+001
4,27.300000000,-4.325673E+001,27.300000000,-3.763449E+000,27.300000000,-3.752017E+000,27.300000000,-3.311729E+001
5,27.400000000,-2.966771E+001,27.400000000,-3.795705E+000,27.400000000,-3.770026E+000,27.400000000,-2.958831E+001
6,27.500000000,-3.084634E+001,27.500000000,-3.769686E+000,27.500000000,-3.801156E+000,27.500000000,-3.105833E+001
7,27.600000000,-3.795660E+001,27.600000000,-3.791075E+000,27.600000000,-3.785467E+000,27.600000000,-3.555764E+001
8,27.700000000,-3.127836E+001,27.700000000,-3.812367E+000,27.700000000,-3.806435E+000,27.700000000,-3.037349E+001
9,27.800000000,-2.977748E+001,27.800000000,-3.806207E+000,27.800000000,-3.813696E+000,27.800000000,-2.994514E+001
10,27.900000000,-3.436109E+001,27.900000000,-3.822738E+000,27.900000000,-3.814848E+000,27.900000000,-2.878846E+001
11,28.000000000,-3.011885E+001,28.000000000,-3.836457E+000,28.000000000,-3.831768E+000,28.000000000,-2.949665E+001
12,28.100000000,-2.902994E+001,28.100000000,-3.833533E+000,28.100000000,-3.846397E+000,28.100000000,-2.786392E+001
13,28.200000000,-3.142503E+001,28.200000000,-3.836217E+000,28.200000000,-3.845882E+000,28.200000000,-2.801336E+001
14,28.300000000,-3.614190E+001,28.300000000,-3.845891E+000,28.300000000,-3.846861E+000,28.300000000,-2.962586E+001
15,28.400000000,-2.588829E+001,28.400000000,-3.869891E+000,28.400000000,-3.875682E+000,28.400000000,-2.422184E+001
16,28.500000000,-3.195721E+001,28.500000000,-3.856705E+000,28.500000000,-3.856993E+000,28.500000000,-2.846917E+001
17,28.600000000,-4.007417E+001,28.600000000,-3.872306E+000,28.600000000,-3.873736E+000,28.600000000,-3.040022E+001
18,28.700000000,-2.892852E+001,28.700000000,-3.891566E+000,28.700000000,-3.884548E+000,28.700000000,-2.527715E+001
19,28.800000000,-2.743776E+001,28.800000000,-3.886738E+000,28.800000000,-3.865304E+000,28.800000000,-2.497675E+001
20,28.900000000,-4.214847E+001,28.900000000,-3.885504E+000,28.900000000,-3.911520E+000,28.900000000,-2.960503E+001
21,29.000000000,-3.115314E+001,29.000000000,-3.912946E+000,29.000000000,-3.888580E+000,29.000000000,-2.757378E+001
22,29.100000000,-2.796897E+001,29.100000000,-3.900737E+000,29.100000000,-3.887100E+000,29.100000000,-2.487685E+001
23,29.200000000,-3.312314E+001,29.200000000,-3.906505E+000,29.200000000,-3.952217E+000,29.200000000,-2.837712E+001
24,29.300000000,-3.920309E+001,29.300000000,-3.928023E+000,29.300000000,-3.913731E+000,29.300000000,-2.844931E+001
25,29.400000000,-2.878315E+001,29.400000000,-3.921281E+000,29.400000000,-3.918793E+000,29.400000000,-2.643383E+001
26,29.500000000,-2.741676E+001,29.500000000,-3.938347E+000,29.500000000,-4.002833E+000,29.500000000,-2.562118E+001
27,29.600000000,-3.984637E+001,29.600000000,-3.935020E+000,29.600000000,-3.975312E+000,29.600000000,-3.032493E+001
28,29.700000000,-3.343935E+001,29.700000000,-3.946661E+000,29.700000000,-3.930493E+000,29.700000000,-2.804405E+001
29,29.800000000,-2.957283E+001,29.800000000,-3.968466E+000,29.800000000,-3.991489E+000,29.800000000,-2.693659E+001
30,29.900000000,-3.394962E+001,29.900000000,-3.961244E+000,29.900000000,-4.032854E+000,29.900000000,-3.101754E+001
31,30.000000000,-3.359433E+001,30.000000000,-3.979161E+000,30.000000000,-3.954402E+000,30.000000000,-2.917243E+001
32,30.100000000,-2.699532E+001,30.100000000,-3.972495E+000,30.100000000,-4.023773E+000,30.100000000,-2.577809E+001
33,30.200000000,-3.020431E+001,30.200000000,-4.000859E+000,30.200000000,-4.054738E+000,30.200000000,-3.014871E+001
34,30.300000000,-4.393919E+001,30.300000000,-3.998374E+000,30.300000000,-3.993819E+000,30.300000000,-3.223349E+001
35,30.400000000,-3.058763E+001,30.400000000,-3.994193E+000,30.400000000,-4.035553E+000,30.400000000,-2.685808E+001
36,30.500000000,-2.829252E+001,30.500000000,-4.022770E+000,30.500000000,-4.087010E+000,30.500000000,-2.855205E+001
37,30.600000000,-3.356623E+001,30.600000000,-4.015437E+000,30.600000000,-4.019107E+000,30.600000000,-3.359667E+001
38,30.700000000,-3.191635E+001,30.700000000,-4.028947E+000,30.700000000,-4.000223E+000,30.700000000,-2.859374E+001
39,30.800000000,-2.634638E+001,30.800000000,-4.019460E+000,30.800000000,-4.114829E+000,30.800000000,-2.628624E+001
40,30.900000000,-3.059340E+001,30.900000000,-4.050215E+000,30.900000000,-4.104107E+000,30.900000000,-3.048544E+001
41,31.000000000,-3.950490E+001,31.000000000,-4.040100E+000,31.000000000,-4.030209E+000,31.000000000,-3.068354E+001
42,31.100000000,-2.628881E+001,31.100000000,-4.035618E+000,31.100000000,-4.039182E+000,31.100000000,-2.609384E+001
43,31.200000000,-2.518698E+001,31.200000000,-4.073404E+000,31.200000000,-3.991694E+000,31.200000000,-2.527110E+001
44,31.300000000,-3.549329E+001,31.300000000,-4.050440E+000,31.300000000,-4.056579E+000,31.300000000,-3.651247E+001
45,31.400000000,-2.703814E+001,31.400000000,-4.075867E+000,31.400000000,-4.096893E+000,31.400000000,-2.703533E+001
46,31.500000000,-2.660632E+001,31.500000000,-4.043802E+000,31.500000000,-4.070480E+000,31.500000000,-2.630574E+001
47,31.600000000,-3.615699E+001,31.600000000,-4.106409E+000,31.600000000,-4.109198E+000,31.600000000,-2.895008E+001
48,31.700000000,-2.748152E+001,31.700000000,-4.102288E+000,31.700000000,-3.913042E+000,31.700000000,-2.442852E+001
49,31.800000000,-2.364165E+001,31.800000000,-4.110246E+000,31.800000000,-4.004328E+000,31.800000000,-2.360363E+001
50,31.900000000,-2.934968E+001,31.900000000,-4.116514E+000,31.900000000,-4.182582E+000,31.900000000,-2.676039E+001
51,32.000000000,-3.282034E+001,32.000000000,-4.106875E+000,32.000000000,-4.006463E+000,32.000000000,-2.734466E+001
