MS4644B
!
!==== DERIVED FILE -- NOT A VNA MEASUREMENT ====
!Source sweep : SA_Cable_Loss_260821.csv (measured 2026-08-20, see the MS4644B header below)
!Change       : S12 and S21 magnitudes shifted by -1.0 dB across the whole band
!Reason       : a connector on the EVB -> SA path was swapped on 2026-09-02 and
!               added about 1 dB of loss. The cable itself was not re-measured.
!Scope        : S11/S22 are untouched -- only the through paths carry the extra loss.
!Supersedes   : SA_Cable_Loss_260821.csv (latest date wins in loss.latest_files)
!TODO         : replace this with a real VNA sweep of the current cable, then delete it.
!===============================================
!
!8/20/2026.7:10:03.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG            ,LOGMAG            ,LOGMAG            ,LOGMAG            
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     
!Reference Plane Port Info
!PORT:        ,PORT1             ,PORT2             
!DISTANCE:    ,0  m              ,0  m              
!TIME:        ,0  s              ,0  s              
!PHASE OFFSET:,0  deg.           ,0  deg.           
!LOSS:        ,0  dB             ,0  dB             
!REF.LOSS:    ,0  dB             ,0  dB             
!REF.FREQ:    ,0  Hz             ,0  Hz             
!Power Info
!POWER:       ,5  dBm            ,5  dBm            
!EFF.POWER:   ,5  dBm            ,5  dBm            
!SOURCE.ATTEN:,0  dB             ,0  dB             
!TEST.ATTEN:  ,0  dB             ,0  dB             
!SWEEPTYPE: FREQ.SWEEP(Linear)
!
!
!
!
!
!
!
!
!
!
!
!
PNT,FREQ1.GHZ,LOGMAG1,FREQ2.GHZ,LOGMAG2,FREQ3.GHZ,LOGMAG3,FREQ4.GHZ,LOGMAG4
1,27.000000000,-3.386773E+001,27.000000000,-4.749967E+00,27.000000000,-4.732098E+00,27.000000000,-2.997359E+001
2,27.100000000,-2.882284E+001,27.100000000,-4.749125E+00,27.100000000,-4.758031E+00,27.100000000,-3.047875E+001
3,27.200000000,-3.984394E+001,27.200000000,-4.759934E+00,27.200000000,-4.763998E+00,27.200000000,-3.533083E+001
4,27.300000000,-4.325673E+001,27.300000000,-4.763449E+00,27.300000000,-4.752017E+00,27.300000000,-3.311729E+001
5,27.400000000,-2.966771E+001,27.400000000,-4.795705E+00,27.400000000,-4.770026E+00,27.400000000,-2.958831E+001
6,27.500000000,-3.084634E+001,27.500000000,-4.769686E+00,27.500000000,-4.801156E+00,27.500000000,-3.105833E+001
7,27.600000000,-3.795660E+001,27.600000000,-4.791075E+00,27.600000000,-4.785467E+00,27.600000000,-3.555764E+001
8,27.700000000,-3.127836E+001,27.700000000,-4.812367E+00,27.700000000,-4.806435E+00,27.700000000,-3.037349E+001
9,27.800000000,-2.977748E+001,27.800000000,-4.806207E+00,27.800000000,-4.813696E+00,27.800000000,-2.994514E+001
10,27.900000000,-3.436109E+001,27.900000000,-4.822738E+00,27.900000000,-4.814848E+00,27.900000000,-2.878846E+001
11,28.000000000,-3.011885E+001,28.000000000,-4.836457E+00,28.000000000,-4.831768E+00,28.000000000,-2.949665E+001
12,28.100000000,-2.902994E+001,28.100000000,-4.833533E+00,28.100000000,-4.846397E+00,28.100000000,-2.786392E+001
13,28.200000000,-3.142503E+001,28.200000000,-4.836217E+00,28.200000000,-4.845882E+00,28.200000000,-2.801336E+001
14,28.300000000,-3.614190E+001,28.300000000,-4.845891E+00,28.300000000,-4.846861E+00,28.300000000,-2.962586E+001
15,28.400000000,-2.588829E+001,28.400000000,-4.869891E+00,28.400000000,-4.875682E+00,28.400000000,-2.422184E+001
16,28.500000000,-3.195721E+001,28.500000000,-4.856705E+00,28.500000000,-4.856993E+00,28.500000000,-2.846917E+001
17,28.600000000,-4.007417E+001,28.600000000,-4.872306E+00,28.600000000,-4.873736E+00,28.600000000,-3.040022E+001
