MS4644B
!6/25/2026.6:36:28.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     
!Reference Plane Port Info
!PORT:        ,PORT1             ,PORT2             
!DISTANCE:    ,0  m              ,0  m              
!TIME:        ,0  s              ,0  s              
!PHASE OFFSET:,0  deg.           ,0  deg.           
!LOSS:        ,0  dB             ,0  dB             
!REF.LOSS:    ,0  dB             ,0  dB             
!REF.FREQ:    ,0  Hz             ,0  Hz             
!Power Info
!POWER:       ,5  dBm            ,5  dBm            
!EFF.POWER:   ,5  dBm            ,5  dBm            
!SOURCE.ATTEN:,0  dB             ,0  dB             
!TEST.ATTEN:  ,0  dB             ,0  dB             
!SWEEPTYPE: FREQ.SWEEP(Linear)
!
!
!
!
!
!
!
!
!
!
!
!
PNT,FREQ1.GHZ,LOGMAG1,PHASE1.DEG,FREQ2.GHZ,LOGMAG2,PHASE2.DEG,FREQ3.GHZ,LOGMAG3,PHASE3.DEG,FREQ4.GHZ,LOGMAG4,PHASE4.DEG
1,16.000000000,-3.109672E+001,167.8687000,16.000000000,-5.815978E+000,21.2125700,16.000000000,-5.791272E+000,21.1420500,16.000000000,-3.139402E+001,151.4806000
2,16.050000000,-4.757469E+001,-177.2130000,16.050000000,-5.769312E+000,143.9691000,16.050000000,-5.820714E+000,143.8875000,16.050000000,-3.091496E+001,165.9937000
3,16.100000000,-3.872573E+001,-112.7758000,16.100000000,-5.799431E+000,-93.3828600,16.100000000,-5.807704E+000,-93.2523500,16.100000000,-3.111534E+001,157.8634000
4,16.150000000,-4.243999E+001,-152.0377000,16.150000000,-5.803267E+000,29.3523200,16.150000000,-5.799632E+000,29.2876100,16.150000000,-3.541261E+001,138.2676000
5,16.200000000,-4.000607E+001,107.6169000,16.200000000,-5.816148E+000,151.9912000,16.200000000,-5.825393E+000,152.1260000,16.200000000,-3.283152E+001,152.8599000
6,16.250000000,-3.710971E+001,152.4513000,16.250000000,-5.825925E+000,-85.2054800,16.250000000,-5.821814E+000,-85.0191300,16.250000000,-3.310381E+001,156.5330000
7,16.300000000,-3.727554E+001,125.0359000,16.300000000,-5.849242E+000,37.6044400,16.300000000,-5.833232E+000,37.5416000,16.300000000,-3.493701E+001,154.7416000
8,16.350000000,-3.018648E+001,118.8105000,16.350000000,-5.880871E+000,160.6539000,16.350000000,-5.859315E+000,160.3600000,16.350000000,-3.011913E+001,151.9354000
9,16.400000000,-3.439472E+001,146.5991000,16.400000000,-5.852725E+000,-76.7019100,16.400000000,-5.855979E+000,-76.8603000,16.400000000,-3.474652E+001,132.3451000
10,16.450000000,-3.557043E+001,-172.0539000,16.450000000,-5.865911E+000,45.9063100,16.450000000,-5.870965E+000,45.6965800,16.450000000,-3.289656E+001,139.1140000
11,16.500000000,-3.368157E+001,162.0018000,16.500000000,-5.858512E+000,168.7740000,16.500000000,-5.884758E+000,168.7060000,16.500000000,-3.230639E+001,113.2301000
12,16.550000000,-3.628922E+001,-21.0374900,16.550000000,-5.887511E+000,-68.8224100,16.550000000,-5.885405E+000,-68.4846600,16.550000000,-2.938655E+001,148.5275000
