MS4644B
!8/20/2026.12:02:34.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG            ,LOGMAG            ,LOGMAG            ,LOGMAG            
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     
!Reference Plane Port Info
!PORT:        ,PORT1             ,PORT2             
!DISTANCE:    ,0  m              ,0  m              
!TIME:        ,0  s              ,0  s              
!PHASE OFFSET:,0  deg.           ,0  deg.           
!LOSS:        ,0  dB             ,0  dB             
!REF.LOSS:    ,0  dB             ,0  dB             
!REF.FREQ:    ,0  Hz             ,0  Hz             
!Power Info
!POWER:       ,5  dBm            ,5  dBm            
!EFF.POWER:   ,5  dBm            ,5  dBm            
!SOURCE.ATTEN:,0  dB             ,0  dB             
!TEST.ATTEN:  ,0  dB             ,0  dB             
!SWEEPTYPE: FREQ.SWEEP(Linear)
!
!
!
!
!
!
!
!
!
!
!
!
PNT,FREQ1.GHZ,LOGMAG1,FREQ2.GHZ,LOGMAG2,FREQ3.GHZ,LOGMAG3,FREQ4.GHZ,LOGMAG4
1,27.000000000,-3.290934E+001,27.000000000,-4.873422E+000,27.000000000,-4.893023E+000,27.000000000,-2.614216E+001
2,27.100000000,-3.354737E+001,27.100000000,-4.883894E+000,27.100000000,-4.910646E+000,27.100000000,-3.308352E+001
3,27.200000000,-3.851384E+001,27.200000000,-4.890348E+000,27.200000000,-4.924658E+000,27.200000000,-2.917944E+001
4,27.300000000,-3.051493E+001,27.300000000,-4.917315E+000,27.300000000,-4.940394E+000,27.300000000,-2.624599E+001
5,27.400000000,-2.922615E+001,27.400000000,-4.910985E+000,27.400000000,-4.944219E+000,27.400000000,-2.663881E+001
6,27.500000000,-3.484269E+001,27.500000000,-4.943134E+000,27.500000000,-4.960761E+000,27.500000000,-3.038915E+001
7,27.600000000,-3.653592E+001,27.600000000,-4.942785E+000,27.600000000,-4.965442E+000,27.600000000,-2.730848E+001
8,27.700000000,-3.300774E+001,27.700000000,-4.961667E+000,27.700000000,-4.986037E+000,27.700000000,-2.687469E+001
9,27.800000000,-3.137394E+001,27.800000000,-4.979321E+000,27.800000000,-4.990446E+000,27.800000000,-2.832994E+001
10,27.900000000,-3.008758E+001,27.900000000,-4.984503E+000,27.900000000,-5.018143E+000,27.900000000,-2.521324E+001
11,28.000000000,-3.603119E+001,28.000000000,-5.009933E+000,28.000000000,-5.021342E+000,28.000000000,-2.452597E+001
12,28.100000000,-3.391821E+001,28.100000000,-5.024948E+000,28.100000000,-5.055408E+000,28.100000000,-2.475398E+001
13,28.200000000,-2.805490E+001,28.200000000,-5.043079E+000,28.200000000,-5.062343E+000,28.200000000,-2.490345E+001
14,28.300000000,-2.596990E+001,28.300000000,-5.052911E+000,28.300000000,-5.092714E+000,28.300000000,-2.177504E+001
15,28.400000000,-3.299055E+001,28.400000000,-5.066829E+000,28.400000000,-5.088069E+000,28.400000000,-2.339781E+001
16,28.500000000,-3.353657E+001,28.500000000,-5.070999E+000,28.500000000,-5.117142E+000,28.500000000,-2.348943E+001
17,28.600000000,-2.646901E+001,28.600000000,-5.105438E+000,28.600000000,-5.124066E+000,28.600000000,-2.322448E+001
18,28.700000000,-2.523142E+001,28.700000000,-5.124312E+000,28.700000000,-5.123830E+000,28.700000000,-2.065251E+001
19,28.800000000,-2.813361E+001,28.800000000,-5.119953E+000,28.800000000,-5.137229E+000,28.800000000,-2.270975E+001
20,28.900000000,-3.152808E+001,28.900000000,-5.166671E+000,28.900000000,-5.151241E+000,28.900000000,-2.365504E+001
21,29.000000000,-2.581715E+001,29.000000000,-5.143951E+000,29.000000000,-5.137300E+000,29.000000000,-2.285707E+001
22,29.100000000,-2.238173E+001,29.100000000,-5.181860E+000,29.100000000,-5.167323E+000,29.100000000,-1.987287E+001
23,29.200000000,-2.602369E+001,29.200000000,-5.207501E+000,29.200000000,-5.206671E+000,29.200000000,-2.077932E+001
24,29.300000000,-2.946641E+001,29.300000000,-5.182035E+000,29.300000000,-5.197980E+000,29.300000000,-2.263947E+001
25,29.400000000,-2.490441E+001,29.400000000,-5.235015E+000,29.400000000,-5.204645E+000,29.400000000,-2.166435E+001
26,29.500000000,-2.240028E+001,29.500000000,-5.292306E+000,29.500000000,-5.279127E+000,29.500000000,-1.935622E+001
27,29.600000000,-2.497225E+001,29.600000000,-5.215802E+000,29.600000000,-5.243149E+000,29.600000000,-1.989851E+001
