MS4644B
!8/20/2026.7:08:01.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG            ,LOGMAG            ,LOGMAG            ,LOGMAG            
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     
!Reference Plane Port Info
!PORT:        ,PORT1             ,PORT2             
!DISTANCE:    ,0  m              ,0  m              
!TIME:        ,0  s              ,0  s              
!PHASE OFFSET:,0  deg.           ,0  deg.           
!LOSS:        ,0  dB             ,0  dB             
!REF.LOSS:    ,0  dB             ,0  dB             
!REF.FREQ:    ,0  Hz             ,0  Hz             
!Power Info
!POWER:       ,5  dBm            ,5  dBm            
!EFF.POWER:   ,5  dBm            ,5  dBm            
!SOURCE.ATTEN:,0  dB             ,0  dB             
!TEST.ATTEN:  ,0  dB             ,0  dB             
!SWEEPTYPE: FREQ.SWEEP(Linear)
!
!
!
!
!
!
!
!
!
!
!
!
PNT,FREQ1.GHZ,LOGMAG1,FREQ2.GHZ,LOGMAG2,FREQ3.GHZ,LOGMAG3,FREQ4.GHZ,LOGMAG4
1,27.000000000,-3.180228E+001,27.000000000,-5.534038E+000,27.000000000,-5.523724E+000,27.000000000,-3.809932E+001
2,27.100000000,-3.535073E+001,27.100000000,-5.540178E+000,27.100000000,-5.544816E+000,27.100000000,-3.620797E+001
3,27.200000000,-3.089524E+001,27.200000000,-5.553913E+000,27.200000000,-5.550661E+000,27.200000000,-3.263927E+001
4,27.300000000,-3.074173E+001,27.300000000,-5.546889E+000,27.300000000,-5.537462E+000,27.300000000,-3.197593E+001
5,27.400000000,-3.267833E+001,27.400000000,-5.590385E+000,27.400000000,-5.585913E+000,27.400000000,-2.740428E+001
6,27.500000000,-3.711409E+001,27.500000000,-5.581584E+000,27.500000000,-5.601573E+000,27.500000000,-2.946588E+001
7,27.600000000,-3.313504E+001,27.600000000,-5.599747E+000,27.600000000,-5.583967E+000,27.600000000,-3.007658E+001
8,27.700000000,-3.081378E+001,27.700000000,-5.620835E+000,27.700000000,-5.614525E+000,27.700000000,-2.885877E+001
9,27.800000000,-3.284423E+001,27.800000000,-5.619643E+000,27.800000000,-5.620102E+000,27.800000000,-3.241937E+001
10,27.900000000,-4.070671E+001,27.900000000,-5.628951E+000,27.900000000,-5.626801E+000,27.900000000,-3.276704E+001
11,28.000000000,-3.107820E+001,28.000000000,-5.648989E+000,28.000000000,-5.642163E+000,28.000000000,-2.997178E+001
12,28.100000000,-3.156137E+001,28.100000000,-5.650391E+000,28.100000000,-5.664762E+000,28.100000000,-2.950323E+001
13,28.200000000,-3.663378E+001,28.200000000,-5.672565E+000,28.200000000,-5.672207E+000,28.200000000,-2.892125E+001
14,28.300000000,-3.576570E+001,28.300000000,-5.676172E+000,28.300000000,-5.679261E+000,28.300000000,-2.833145E+001
15,28.400000000,-3.328120E+001,28.400000000,-5.688910E+000,28.400000000,-5.692324E+000,28.400000000,-2.695265E+001
16,28.500000000,-3.349556E+001,28.500000000,-5.700263E+000,28.500000000,-5.703315E+000,28.500000000,-2.595987E+001
17,28.600000000,-3.986745E+001,28.600000000,-5.712863E+000,28.600000000,-5.724625E+000,28.600000000,-2.738790E+001
18,28.700000000,-3.721740E+001,28.700000000,-5.728673E+000,28.700000000,-5.722441E+000,28.700000000,-2.834317E+001
19,28.800000000,-3.027063E+001,28.800000000,-5.727451E+000,28.800000000,-5.712466E+000,28.800000000,-2.719977E+001
